Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
275024.1;1;bl;625;gr;Knorr taboule couscous salade;7.70;f;Rijst;3011360084231;Sligro
520186.1;1;st;;;Sun regenereerzout;1.24;o;Afwas- & vaatmiddelen;3011610056377;Sligro
753103.1;1;fl;1;lt;Ravel kookbrandy;7.93;f;Vlees- vis en groentesauzen;3012993009721;Sligro
193277.1;1;fl;1;lt;Ravel kookwodka;6.65;f;Vlees- vis en groentesauzen;3012993020412;Sligro
871422.1;1;st;;;Oralb tandpasta profess. bescherming;11.64;o;Cosmetica;3014260091323;Sligro
524790.1;1;fl;70;cl;Grand marnier rouge 40%;19.25;d;Gedistilleerd;3018300004663;Sligro
268836.1;1;fl;70;cl;Grand marnier rouge 40%;27.50;d;Gedistilleerd;3018300004670;Sligro
359548.1;1;fl;75;cl;Piper-heidsieck cuvee brut;27.50;d;Wijnen;3018334100003;Sligro
95644.1;1;fl;75;cl;Noilly prat french dry blanc;7.36;d;Port sherry vermouth aperitief;3023010003592;Sligro
980789.1;1;st;900;gr;Chef visfumet;22.56;f;Vlees- vis en groentesauzen;3033710032549;Sligro
980763.1;1;zk;1;lt;Nestle cacao mix;4.55;d;Koffie, cacao & oploskoffie;3033710063536;Sligro
87612.1;1;zk;500;gr;Nescafe ristretto arabica/robusta mel.;20.71;d;Koffie, cacao & oploskoffie;3033710076826;Sligro
635156.1;1;pt;215;gr;Maille dyon mosterd original;1.85;f;Snack- en tafelsauzen;3036810201280;Sligro
586496.1;1;pk;500;gr;V.paille polenta fine;2.04;f;Rijst;3039820608162;Sligro
586336.1;1;zk;1;kg;Vivien paille couscous;2.04;f;Rijst;3039826000342;Sligro
338770.1;1;pk;500;gr;V.paille precooked polenta;1.90;f;Rijst;3039826100318;Sligro
338885.1;1;fl;70;cl;Courvoisier vsop 40%;26.05;d;Gedistilleerd;3049197210776;Sligro
208608.1;1;fl;70;cl;Monin siroop caramel;8.03;d;Koffie, cacao & oploskoffie;3052910000936;Sligro
874747.1;1;fl;70;cl;Monin siroop noisette;9.17;d;Koffie, cacao & oploskoffie;3052910001254;Sligro
874721.1;1;fl;70;cl;Monin siroop chocolat;6.37;d;Koffie, cacao & oploskoffie;3052910007645;Sligro
58948.1;1;fl;70;cl;Monin siroop honing;6.37;d;Koffie, cacao & oploskoffie;3052910010843;Sligro
58841.1;1;fl;70;cl;Monin siroop amaretto;6.37;d;Koffie, cacao & oploskoffie;3052910013134;Sligro
489500.1;1;fl;70;cl;Campari 25%;15.10;d;Gedistilleerd;3057770000805;Sligro
759463.1;1;mp;12;pk;Whiskas adult vis in gelei 12x100g;3.09;o;Dier;3065890127036;Sligro
